uid,dataset,score,lm_cc,loc,group
HumanEval_10,humaneval,0.0,10.2,13,A
HumanEval_36,humaneval,0.0,14.8,11,A
HumanEval_32,humaneval,0.0,17.2,18,A
HumanEval_152,humaneval,1.0,2.8,3,C
HumanEval_57,humaneval,1.0,4.2,5,C
HumanEval_13,humaneval,1.0,2.8,5,C
HumanEval_2,humaneval,1.0,2.8,3,C
HumanEval_116,humaneval,1.0,2.8,5,C
HumanEval_85,humaneval,1.0,2.8,3,C
HumanEval_138,humaneval,1.0,2.8,3,C
HumanEval_12,humaneval,1.0,5.6,9,C
HumanEval_60,humaneval,1.0,2.8,5,C
HumanEval_84,humaneval,1.0,2.8,3,C
HumanEval_79,humaneval,1.0,2.8,5,C
HumanEval_121,humaneval,1.0,2.8,5,C
HumanEval_34,humaneval,1.0,2.8,5,C
HumanEval_24,humaneval,1.0,2.8,7,C
HumanEval_158,humaneval,1.0,2.8,5,C
HumanEval_62,humaneval,1.0,2.8,3,C
HumanEval_115,humaneval,1.0,4.0,6,C
HumanEval_8,humaneval,1.0,5.6,11,C
HumanEval_151,humaneval,1.0,4.4,6,C
HumanEval_26,humaneval,1.0,5.6,5,C
HumanEval_54,humaneval,1.0,2.8,5,C
HumanEval_122,humaneval,1.0,2.8,3,C
HumanEval_27,humaneval,1.0,2.8,3,C
HumanEval_55,humaneval,1.0,5.6,9,C
HumanEval_45,humaneval,1.0,2.8,5,C
HumanEval_97,humaneval,1.0,2.8,5,C
HumanEval_163,humaneval,1.0,5.6,6,C
HumanEval_66,humaneval,1.0,4.2,4,C
HumanEval_22,humaneval,1.0,2.8,3,C
HumanEval_23,humaneval,1.0,2.8,3,C
HumanEval_51,humaneval,1.0,4.4,6,C
HumanEval_41,humaneval,1.0,2.8,5,C
HumanEval_136,humaneval,1.0,5.6,5,C
HumanEval_162,humaneval,1.0,4.2,4,C
HumanEval_48,humaneval,1.0,4.4,8,C
HumanEval_100,humaneval,1.0,2.8,3,C
HumanEval_4,humaneval,1.0,4.2,4,C
HumanEval_77,humaneval,1.0,4.2,4,C
HumanEval_15,humaneval,1.0,2.8,5,C
HumanEval_53,humaneval,1.0,2.8,5,C
HumanEval_88,humaneval,1.0,2.8,3,C
HumanEval_21,humaneval,1.0,5.6,7,C
HumanEval_31,humaneval,1.0,4.2,10,C
HumanEval_91,humaneval,1.0,5.6,5,C
HumanEval_112,humaneval,1.0,4.2,4,C
HumanEval_28,humaneval,1.0,2.8,3,C
HumanEval_17,humaneval,1.0,4.2,4,C
HumanEval_29,humaneval,1.0,2.8,3,C
HumanEval_90,humaneval,1.0,4.2,6,C
HumanEval_16,humaneval,1.0,2.8,3,C
HumanEval_7,humaneval,1.0,2.8,5,C
HumanEval_52,humaneval,1.0,4.4,6,C
HumanEval_42,humaneval,1.0,2.8,3,C
HumanEval_30,humaneval,1.0,2.8,5,C
HumanEval_157,humaneval,1.0,2.8,3,C
