uid,dataset,score,lm_cc,loc,group
a1a0dcc4f5205c620d2432150fc57019,xcodeeval_code_translation,0.0,43.8,35,A
df2fe4eb4187b3bbd472b9ab1a676a70,xcodeeval_code_translation,0.0,41.0,39,A
af05cd1432dd0d984bc69492a2cf3e82,xcodeeval_code_translation,0.0,142.6,72,A
f523fa88725a35feb9b07051c9e654aa,xcodeeval_code_translation,0.0,40.8,33,A
b852220675f83267bfbcbcb6c3ce921f,xcodeeval_code_translation,0.0,51.599999999999994,44,A
c0dd0a79eb63974a05de422f1526913d,xcodeeval_code_translation,0.0,41.0,37,A
4b2e18a331e01e1ae120ac59b747c8ba,xcodeeval_code_translation,0.0,48.599999999999994,47,A
e83c2dcbaa985ee6cff609f55c62f2bd,xcodeeval_code_translation,0.0,39.8,44,A
a4cb7276ee9d2d10d87c179a0d8518ac,xcodeeval_code_translation,0.0,254.4,230,A
a16212a8ee7ecf65b5955c0a7f0b2455,xcodeeval_code_translation,0.0,38.39999999999999,33,A
bdb1df1f2e2a7a9e41c4a518b3ff5c5f,xcodeeval_code_translation,0.0,77.0,67,A
d9964e2f080448fea5e63b137474ffa1,xcodeeval_code_translation,0.0,39.599999999999994,31,A
65dfca28344f0447b39c3dc04b7b60d4,xcodeeval_code_translation,0.0,48.2,49,A
3431a34341f3e3a7b24ad7cebf99a9c7,xcodeeval_code_translation,0.0,49.39999999999999,41,A
5167e57729cd9da0c07de532c4c2d9eb,xcodeeval_code_translation,0.0,38.8,30,A
86f0a2cac55531aebf7fa88e6fc326c5,xcodeeval_code_translation,0.0,67.4,68,A
86f52409c8c82ad993afe8da78e4d681,xcodeeval_code_translation,0.0,66.6,39,A
931646a505cb1b192a15fef50104b519,xcodeeval_code_translation,0.0,38.599999999999994,38,A
27b679b65629585e93409b3811fb444a,xcodeeval_code_translation,0.0,57.0,52,A
7d8af95822a890f5bc9313fdab87e15c,xcodeeval_code_translation,0.0,43.39999999999999,41,A
f1c5f5d2610b54c0dcb2446b6cd08764,xcodeeval_code_translation,0.0,58.599999999999994,44,A
8f87b7c9ea6cc2fc604332473d27783b,xcodeeval_code_translation,0.0,85.19999999999999,78,A
58fd968dfe312006bd2119075d913dd6,xcodeeval_code_translation,0.0,92.6,71,A
f106deef1b83721c53763480e59bfddf,xcodeeval_code_translation,0.0,39.599999999999994,37,A
acb5791990a5f5a7d80d8c56d19e3ab1,xcodeeval_code_translation,0.0,105.79999999999998,73,A
1cbe48cdca5ba76721d4ddeed42e8a9b,xcodeeval_code_translation,0.0,48.599999999999994,48,A
52f8a5b3d9855149cdaad20eb09b3bfd,xcodeeval_code_translation,0.0,124.6,157,A
6b178acc5ad8ab38b57bb1a24a8083aa,xcodeeval_code_translation,0.0,54.0,43,A
8d6a8b7223fd746746262f8637bad705,xcodeeval_code_translation,0.0,46.0,42,A
287dea8398d5e1a97f03fc5914ca8133,xcodeeval_code_translation,0.0,130.39999999999998,84,A
2c786b87aed9e19fe1fa8c7e5c8ae65d,xcodeeval_code_translation,0.0,179.6,182,A
ae70f9154a77bcb542aa8112543ad3a2,xcodeeval_code_translation,0.0,76.8,127,A
af805ff642c1a193293b9f8d8fa57b15,xcodeeval_code_translation,0.0,65.0,83,A
4d90d0cdef1a876dd8f755ae66a4afad,xcodeeval_code_translation,0.0,59.99999999999999,48,A
576eda555f961a7498f42f10b898ae36,xcodeeval_code_translation,0.0,47.0,41,A
58ecb08bc4752f0c939380d770a533ae,xcodeeval_code_translation,0.0,41.0,40,A
cd74629ef48d2bdd2c7656dade9448d4,xcodeeval_code_translation,0.0,52.4,41,A
5194bdba514c1e040cc6134264004982,xcodeeval_code_translation,0.0,45.8,58,A
9d64b97a89ed6975b24992c1002821c9,xcodeeval_code_translation,0.0,124.0,122,A
6bfdc6e8dc389a3a5011fbe2f8a2fb29,xcodeeval_code_translation,0.0,92.6,114,A
81635c25f233d31258b831312c4d2c50,xcodeeval_code_translation,0.0,59.0,72,A
d341aff596a8c42e9eabc8c51b598d9d,xcodeeval_code_translation,0.0,50.0,62,A
2dd963f592f95d7eedd74446e9652f5e,xcodeeval_code_translation,0.0,84.39999999999999,67,A
9148062c140a4c435153fd751aa205f4,xcodeeval_code_translation,0.0,50.8,55,A
47c36fca2488b065bd77f206a1dfd378,xcodeeval_code_translation,0.0,76.79999999999998,59,A
ee6ea1fbc6bbb80269a7dee1b97d2100,xcodeeval_code_translation,0.0,65.8,74,A
