bin_start,bin_end,n,pass_at_1_mean,pass_at_1_std,lm_cc_mean
4,5,19,1.0,0.0,2.8
5,6,28,0.9642857142857143,0.1339272486707165,3.307142857142857
6,7,21,0.980952380952381,0.08728715609439698,5.133333333333333
7,8,19,0.9684210526315788,0.1002919714242558,6.368421052631578
8,9,22,0.8727272727272727,0.27287153471711645,7.927272727272726
9,10,21,0.9523809523809523,0.17781745588959372,9.495238095238095
10,11,8,1.0,0.0,11.125
11,12,8,0.825,0.3453776401067595,12.55
12,13,6,1.0,0.0,14.166666666666666
13,14,3,0.6666666666666666,0.5773502691896258,15.333333333333334
14,15,3,1.0,0.0,16.266666666666666
16,17,2,1.0,0.0,18.799999999999997
17,18,1,1.0,,29.599999999999994
18,19,1,1.0,,25.0
