bin_start,bin_end,n,pass_at_1_mean,pass_at_1_std,lm_cc_mean
0,5,46,0.7347826086956522,0.43625547627475136,2.217391304347826
5,10,222,0.736936936936937,0.420714309171564,6.36936936936937
10,15,144,0.6208333333333333,0.47110567757198546,12.484722222222222
15,20,112,0.4660714285714286,0.48277605115903954,18.337500000000002
20,25,100,0.4,0.4618802153517007,24.546
25,30,75,0.3893333333333333,0.47293600885158715,31.38133333333333
30,35,60,0.31333333333333335,0.42524834884110996,37.876666666666665
35,40,52,0.2576923076923077,0.4253469881541716,45.51923076923077
40,45,44,0.19545454545454544,0.36723640789167944,50.50454545454545
45,50,25,0.2,0.3651483716701107,56.12
50,55,20,0.13999999999999999,0.3439706229806322,64.00999999999999
55,60,13,0.10769230769230768,0.2900044208327937,74.61538461538461
60,65,12,0.08333333333333333,0.2886751345948129,77.38333333333333
65,70,5,0.2,0.447213595499958,77.11999999999999
70,75,4,0.0,0.0,92.35
75,80,7,0.2857142857142857,0.4879500364742666,89.14285714285714
80,85,2,0.0,0.0,80.4
85,90,2,0.0,0.0,111.9
90,95,4,0.0,0.0,109.35
95,100,1,0.0,,99.8
100,105,3,0.0,0.0,114.86666666666667
105,110,4,0.0,0.0,117.0
115,120,1,0.19999999999999996,,164.0
120,125,1,0.0,,155.79999999999998
130,135,1,0.0,,136.2
135,140,1,1.0,,156.39999999999998
140,145,1,0.0,,161.6
145,150,1,0.0,,194.6
150,155,2,0.0,0.0,158.7
170,175,1,0.0,,170.6
220,225,1,1.0,,330.6
590,595,1,0.0,,817.9999999999999
