bin_start,bin_end,n,pass_at_1_mean,pass_at_1_std,lm_cc_mean
0,5,0,,,
5,10,0,,,
10,15,2,0.5,0.7071067811865476,13.0
15,20,7,0.5428571428571428,0.427617987059879,20.085714285714285
20,25,27,0.24444444444444444,0.38162943497721147,26.118518518518517
25,30,37,0.39459459459459456,0.4795518428386757,32.65405405405406
30,35,39,0.24615384615384614,0.4141231407546577,38.364102564102566
35,40,38,0.2631578947368421,0.4314783215446816,45.02105263157895
40,45,34,0.22352941176470587,0.39316803681039547,50.188235294117646
45,50,17,0.07058823529411765,0.2443478715948661,58.35294117647058
50,55,14,0.1285714285714286,0.32916811563644555,64.52857142857142
55,60,10,0.13999999999999999,0.3272783388968954,70.86
60,65,7,0.14285714285714285,0.37796447300922725,79.48571428571428
65,70,5,0.2,0.447213595499958,77.11999999999999
70,75,4,0.0,0.0,92.35
75,80,7,0.2857142857142857,0.4879500364742666,89.14285714285714
80,85,2,0.0,0.0,80.4
85,90,2,0.0,0.0,111.9
90,95,3,0.0,0.0,114.13333333333333
95,100,1,0.0,,99.8
100,105,2,0.0,0.0,115.8
105,110,3,0.0,0.0,114.33333333333333
110,115,0,,,
115,120,1,0.19999999999999996,,164.0
120,125,1,0.0,,155.79999999999998
125,130,0,,,
130,135,1,0.0,,136.2
135,140,1,1.0,,156.39999999999998
140,145,1,0.0,,161.6
145,150,0,,,
150,155,2,0.0,0.0,158.7
155,160,0,,,
160,165,0,,,
165,170,0,,,
170,175,1,0.0,,170.6
175,180,0,,,
180,185,0,,,
185,190,0,,,
190,195,0,,,
195,200,0,,,
200,205,0,,,
205,210,0,,,
210,215,0,,,
215,220,0,,,
220,225,1,1.0,,330.59999999999997
225,230,0,,,
230,235,0,,,
235,240,0,,,
240,245,0,,,
245,250,0,,,
250,255,0,,,
255,260,0,,,
260,265,0,,,
265,270,0,,,
270,275,0,,,
275,280,0,,,
280,285,0,,,
285,290,0,,,
290,295,0,,,
295,300,0,,,
300,305,0,,,
305,310,0,,,
310,315,0,,,
315,320,0,,,
320,325,0,,,
325,330,0,,,
330,335,0,,,
335,340,0,,,
340,345,0,,,
345,350,0,,,
350,355,0,,,
355,360,0,,,
360,365,0,,,
365,370,0,,,
370,375,0,,,
375,380,0,,,
380,385,0,,,
385,390,0,,,
390,395,0,,,
395,400,0,,,
400,405,0,,,
405,410,0,,,
410,415,0,,,
415,420,0,,,
420,425,0,,,
425,430,0,,,
430,435,0,,,
435,440,0,,,
440,445,0,,,
445,450,0,,,
450,455,0,,,
455,460,0,,,
460,465,0,,,
465,470,0,,,
470,475,0,,,
475,480,0,,,
480,485,0,,,
485,490,0,,,
490,495,0,,,
495,500,0,,,
500,505,0,,,
505,510,0,,,
510,515,0,,,
515,520,0,,,
520,525,0,,,
525,530,0,,,
530,535,0,,,
535,540,0,,,
540,545,0,,,
545,550,0,,,
550,555,0,,,
555,560,0,,,
560,565,0,,,
565,570,0,,,
570,575,0,,,
575,580,0,,,
580,585,0,,,
585,590,0,,,
590,595,1,0.0,,817.9999999999999
