scope,model,label,n,k_params,rss,aic,bic,params,delta_aic,delta_bic
all,logistic,滑らかな減衰モデル (浸食仮説),968,4,181.92958502433362,-1608.120774676756,-1583.744614240373,"{'L': np.float64(0.11933882118451879), 'U': np.float64(1.127502263553066), 'k': np.float64(0.07859713841454016), 'x0': np.float64(11.520313087776517)}",0.0,0.0
all,hinge,区分線形モデル (崖仮説),968,4,182.63205151117407,-1604.3903305889303,-1580.0141701525474,"{'breakpoint': np.float64(40.02341137123746), 'a': np.float64(0.8127433637744247), 'b': np.float64(-0.01632697257456652), 'c': np.float64(0.01612360442164265)}",3.7304440878256173,3.7304440878256173
all,linear,線形回帰 (ベースライン),968,2,204.91994823315818,-1496.9290750389584,-1482.3033787771287,"{'a': np.float64(0.5971958738414146), 'b': np.float64(-0.004794635649212998)}",111.19169963779746,101.44123546324431
humaneval,linear,線形回帰 (ベースライン),162,2,5.081360411689028,-554.846804530519,-545.5840155248218,"{'a': np.float64(1.0015291306745078), 'b': np.float64(-0.006879250137842215)}",0.0,0.0
humaneval,hinge,区分線形モデル (崖仮説),162,4,4.983066326640257,-554.0112466809016,-538.5732650047397,"{'breakpoint': np.float64(13.0), 'a': np.float64(1.040145203693489), 'b': np.float64(-0.012690817137904067), 'c': np.float64(0.04893335816672292)}",0.8355578496173166,7.01075052008207
humaneval,logistic,滑らかな減衰モデル (浸食仮説),162,4,4.99972139899494,-553.4706914173793,-538.0327097412173,"{'L': np.float64(0.9173355923615223), 'U': np.float64(0.9794258158524439), 'k': np.float64(9.99999912449882), 'x0': np.float64(7.152706924847703)}",1.376113113139695,7.551305783604448
xcodeeval_apr,hinge,区分線形モデル (崖仮説),271,4,41.55758006246958,-498.1355375388665,-480.12494343446804,"{'breakpoint': np.float64(49.17391304347826), 'a': np.float64(0.5649807310664247), 'b': np.float64(-0.008903078217763243), 'c': np.float64(0.009018111631289898)}",0.0,0.6134477316285256
xcodeeval_apr,logistic,滑らかな減衰モデル (浸食仮説),271,4,41.61678880269196,-497.7497078288357,-479.7391137244372,"{'L': np.float64(0.12300477164238971), 'U': np.float64(0.9304415154935389), 'k': np.float64(0.07787513021327268), 'x0': np.float64(12.000000001787365)}",0.385829710030805,0.9992774416593875
xcodeeval_apr,linear,線形回帰 (ベースライン),271,2,43.213819613101265,-491.54474762873565,-480.73839116609656,"{'a': np.float64(0.2796122250949882), 'b': np.float64(-0.0009440959477090687)}",6.590789910130866,0.0
xcodeeval_code_translation,linear,線形回帰 (ベースライン),535,2,118.05873205951136,-802.4302165621508,-789.5834163214628,"{'a': np.float64(0.5817266179368846), 'b': np.float64(-0.006574521950835097)}",0.0,0.0
xcodeeval_code_translation,hinge,区分線形モデル (崖仮説),535,4,117.56982166195695,-800.6503841431652,-779.2390504086851,"{'breakpoint': np.float64(8.960200668896318), 'a': np.float64(0.4120730395526613), 'b': np.float64(0.01491694815618198), 'c': np.float64(-0.022444683521595028)}",1.7798324189856203,10.344365912777675
xcodeeval_code_translation,logistic,滑らかな減衰モデル (浸食仮説),535,4,117.61453105347137,-800.4469732914467,-779.0356395569667,"{'L': np.float64(-0.008796061671371022), 'U': np.float64(0.5783511673383409), 'k': np.float64(0.07375974022068214), 'x0': np.float64(39.404096571097014)}",1.9832432707040653,10.54777676449612
all_dataset_controlled,logistic_ds,滑らかな減衰モデル＋dataset切片制御 (浸食仮説),968,6,164.60636994463738,-1700.9814970325801,-1666.8548724216441,"{'L': 0.5819974241533682, 'U': 0.9866893327883348, 'k': 0.10450018040130203, 'x0': 29.83956320736597, 'shifts': {'humaneval': 0.0, 'xcodeeval_apr': -0.47929014894976585, 'xcodeeval_code_translation': -0.4206940355770285}}",0.0,0.0
all_dataset_controlled,hinge_ds,区分線形モデル＋dataset切片制御 (崖仮説),968,6,164.82021803763348,-1699.7247376169823,-1665.5981130060463,"{'intercepts': {'humaneval': 1.010209982246055, 'xcodeeval_apr': 0.5388910552815901, 'xcodeeval_code_translation': 0.603776406507406}, 'b': -0.008024443911938905, 'c': 0.008040926354324518, 'breakpoint': 52.01003344481605}",1.2567594155977986,1.2567594155977986
all_dataset_controlled,linear_ds,線形回帰＋dataset切片制御,968,4,169.1541665101389,-1678.6000703799216,-1654.2239099435387,"{'intercepts': {'humaneval': 0.9640661513770183, 'xcodeeval_apr': 0.32608760045046037, 'xcodeeval_code_translation': 0.49678748700056385}, 'b': -0.0019370655725381991}",22.381426652658547,12.630962478105403
dataset_controlled_excl_humaneval,logistic_ds,滑らかな減衰モデル＋dataset切片制御 (浸食仮説),806,5,159.49874924027972,-1293.7584156253636,-1265.605913170324,"{'L': 0.10411315302378964, 'U': 0.5029737240031539, 'k': 0.1075279970170609, 'x0': 30.00952483525878, 'shifts': {'xcodeeval_apr': 0.0, 'xcodeeval_code_translation': 0.05884871940580996}}",0.0,0.0
dataset_controlled_excl_humaneval,hinge_ds,区分線形モデル＋dataset切片制御 (崖仮説),806,5,159.73707772106894,-1292.5549617835297,-1264.40245932849,"{'intercepts': {'xcodeeval_apr': 0.5395887031395706, 'xcodeeval_code_translation': 0.6041387174356271}, 'b': -0.008045523056255388, 'c': 0.00806202918355245, 'breakpoint': 51.95652173913044}",1.2034538418338343,1.2034538418338343
dataset_controlled_excl_humaneval,linear_ds,線形回帰＋dataset切片制御,806,3,164.0399191953974,-1275.1309912664333,-1256.3626562964068,"{'intercepts': {'xcodeeval_apr': 0.3255749913982037, 'xcodeeval_code_translation': 0.49658688867462375}, 'b': -0.0019261134239130784}",18.627424358930284,9.243256873917062
