2026-06-15 00:07:37 - INFO - 📁 読み込み: /Users/hyoishitobi/PycharmProjects/detect-llm-hard-to-read/data/humaneval から 162 件のファイルを検出
2026-06-15 00:07:37 - INFO - 📁 読み込み: /Users/hyoishitobi/PycharmProjects/detect-llm-hard-to-read/data/humaneval_simplified から 63 件のファイルを検出
2026-06-15 00:07:37 - INFO - 📁 読み込み: /Users/hyoishitobi/PycharmProjects/detect-llm-hard-to-read/data/humaneval_simplified-top60 から 60 件のファイルを検出
2026-06-15 00:07:37 - INFO - 📁 読み込み: /Users/hyoishitobi/PycharmProjects/detect-llm-hard-to-read/data/xcodeeval/apr から 271 件のファイルを検出
2026-06-15 00:07:37 - INFO - 📁 読み込み: /Users/hyoishitobi/PycharmProjects/detect-llm-hard-to-read/data/xcodeeval/code_translation から 536 件のファイルを検出
2026-06-15 00:07:37 - INFO - 📁 読み込み: /Users/hyoishitobi/PycharmProjects/detect-llm-hard-to-read/data/xcodeeval_simplified/apr から 116 件のファイルを検出
2026-06-15 00:07:37 - INFO - 📁 読み込み: /Users/hyoishitobi/PycharmProjects/detect-llm-hard-to-read/data/xcodeeval_simplified/code_translation から 198 件のファイルを検出
2026-06-15 00:07:37 - INFO - 📁 読み込み: /Users/hyoishitobi/PycharmProjects/detect-llm-hard-to-read/data/xcodeeval_simplified-top50/apr から 58 件のファイルを検出
2026-06-15 00:07:37 - INFO - 📁 読み込み: /Users/hyoishitobi/PycharmProjects/detect-llm-hard-to-read/data/xcodeeval_simplified-top50/code_translation から 99 件のファイルを検出
2026-06-15 00:07:37 - INFO - 🚀 合計 1563 件のファイルを処理します。
2026-06-15 00:07:37 - INFO - [1/1563] ⏭️ スキップ: HumanEval_128
2026-06-15 00:07:37 - INFO - [2/1563] ⏭️ スキップ: HumanEval_0
2026-06-15 00:07:37 - INFO - [3/1563] ⏭️ スキップ: HumanEval_78
2026-06-15 00:07:37 - INFO - [4/1563] ⏭️ スキップ: HumanEval_29
2026-06-15 00:07:37 - INFO - [5/1563] ⏭️ スキップ: HumanEval_39
2026-06-15 00:07:37 - INFO - [6/1563] ⏭️ スキップ: HumanEval_68
2026-06-15 00:07:37 - INFO - [7/1563] ⏭️ スキップ: HumanEval_138
2026-06-15 00:07:37 - INFO - [8/1563] ⏭️ スキップ: HumanEval_149
2026-06-15 00:07:37 - INFO - [9/1563] ⏭️ スキップ: HumanEval_4
2026-06-15 00:07:37 - INFO - [10/1563] ⏭️ スキップ: HumanEval_118
2026-06-15 00:07:37 - INFO - [11/1563] ⏭️ スキップ: HumanEval_48
2026-06-15 00:07:37 - INFO - [12/1563] ⏭️ スキップ: HumanEval_19
2026-06-15 00:07:37 - INFO - [13/1563] ⏭️ スキップ: HumanEval_58
2026-06-15 00:07:37 - INFO - [14/1563] ⏭️ スキップ: HumanEval_108
2026-06-15 00:07:37 - INFO - [15/1563] ⏭️ スキップ: HumanEval_159
2026-06-15 00:07:37 - INFO - [16/1563] ⏭️ スキップ: HumanEval_5
2026-06-15 00:07:37 - INFO - [17/1563] ⏭️ スキップ: HumanEval_148
2026-06-15 00:07:37 - INFO - [18/1563] ⏭️ スキップ: HumanEval_119
2026-06-15 00:07:37 - INFO - [19/1563] ⏭️ スキップ: HumanEval_49
2026-06-15 00:07:37 - INFO - [20/1563] ⏭️ スキップ: HumanEval_18
